id,columna_texto,categoria
1,"La minería de datos permite descubrir patrones ocultos",Tecnología
2,"Python facilita el procesamiento del lenguaje natural",Educación
3,"La inteligencia artificial mejora los sistemas de análisis",Tecnología
4,"Las universidades utilizan bibliotecas digitales",Educación
5,"La ciberseguridad protege los activos digitales",Seguridad
6,"El análisis textual ayuda en la detección de amenazas",Seguridad
7,"Los algoritmos de aprendizaje automático procesan grandes volúmenes de información",Tecnología
8,"La tokenización divide el texto en unidades lingüísticas",Educación
9,"Las redes neuronales permiten automatizar tareas complejas",Tecnología
10,"El procesamiento de lenguaje natural analiza documentos digitales",Educación
11,"Las organizaciones monitorean correos sospechosos",Seguridad
12,"Los sistemas inteligentes generan reportes automatizados",Tecnología
13,"La minería de textos extrae conocimiento útil",Educación
14,"La protección de datos es fundamental para las empresas",Seguridad
15,"Los modelos predictivos ayudan en la toma de decisiones",Tecnología